"","كود العميل","تاريخ التسجيل","اسم العروسه","اسم العريس","العنوان","تليفون 1","تليفون 2","ملاحظات"
"تفاصيل الحجوزات","C-101","2026-02-21","رندا  محمد","محمدين","طنطا","01030925627","20022",""
"تفاصيل الحجوزات","C-102","2026-02-21","رندا  محمد احمد","dcsds","طنطا","01030925629","",""
"تفاصيل الحجوزات","C-103","2026-02-21","E2E Bride Book 1771641374","E2E Bride Book 1771641374 Groom","E2E Address","01771641374","01771641374","E2E booking smoke"
"تفاصيل الحجوزات","C-104","2026-02-21","E2E Bride Book 1771641661","E2E Bride Book 1771641661 Groom","E2E Core Smoke Address","01771641661","01771641661","E2E core smoke"
"تفاصيل الحجوزات","C-105","2026-02-21","E2E Bride Del 1771641705","E2E Bride Del 1771641705 Groom","E2E Address","01771641705","01771641705","E2E customer delete"
"تفاصيل الحجوزات","C-106","2026-02-21","E2E Bride Book 1771641705","E2E Bride Book 1771641705 Groom","E2E Address","01771641706","01771641706","E2E customer booking"
"تفاصيل الحجوزات","C-107","2026-02-21","E2E Bride Book2 1771641705","E2E Bride Book2 1771641705 Groom","E2E Address","01771641707","01771641707","E2E customer booking delete"
"تفاصيل الحجوزات","C-108","2026-02-21","E2E Bride Del 1771642097","E2E Groom Del 1771642097","E2E Address","01771642097","01771642097","E2E customer edited"
"تفاصيل الحجوزات","C-109","2026-02-21","E2E Bride Book 1771642097","E2E Groom Book 1771642097","E2E Address","01771642098","01771642098","E2E customer booking"
"تفاصيل الحجوزات","C-110","2026-02-21","E2E Bride Book2 1771642097","E2E Groom Book2 1771642097","E2E Address","01771642099","01771642099","E2E customer booking delete"
"تفاصيل الحجوزات","C-111","2026-02-21","E2E Bride Book 1771642199","E2E Bride Book 1771642199 Groom","E2E Address","01771642199","01771642199","E2E booking smoke"
"تفاصيل الحجوزات","C-112","2026-02-21","E2E Bride Del 1771642495","E2E Groom Del 1771642495","E2E Address","01771642495","01771642495","E2E customer edited"
"تفاصيل الحجوزات","C-113","2026-02-21","E2E Bride Book 1771642495","E2E Groom Book 1771642495","E2E Address","01771642496","01771642496","E2E customer booking"
